"","Subsystem.Level.2","location","mean.loc.abund"
"1","Amino acid racemase","Cancun",0.00058756378678504
"2","Amino acid racemase","Lapaz",0.000437573581198699
"3","Amino acid racemase","Ningaloo",0.000467543914858041
"4","Amino acid racemase","Philippines",0.000558026468732316
"5","Amino acid racemase","Tanzania",0.000429470548247441
"6","Creatine and Creatinine Degradation","Cancun",0.000505064693415905
"7","Creatine and Creatinine Degradation","Lapaz",0.00204717894944161
"8","Creatine and Creatinine Degradation","Ningaloo",0.00260928086711854
"9","Creatine and Creatinine Degradation","Philippines",0.000641407857597312
"10","Creatine and Creatinine Degradation","Tanzania",0.00105965902108363
"11","Alanine, serine, and glycine","Cancun",0.00706063506871462
"12","Alanine, serine, and glycine","Lapaz",0.00814624463018455
"13","Alanine, serine, and glycine","Ningaloo",0.00870354664458989
"14","Alanine, serine, and glycine","Philippines",0.00688452694112769
"15","Alanine, serine, and glycine","Tanzania",0.00771603593659536
"16","Arginine; urea cycle, polyamines","Cancun",0.0146923135211841
"17","Arginine; urea cycle, polyamines","Lapaz",0.0145520066874
"18","Arginine; urea cycle, polyamines","Ningaloo",0.0160264027204833
"19","Arginine; urea cycle, polyamines","Philippines",0.0148596260510659
"20","Arginine; urea cycle, polyamines","Tanzania",0.0161803222791314
"21","Aromatic amino acids and derivatives","Cancun",0.0109395315663736
"22","Aromatic amino acids and derivatives","Lapaz",0.0125951679313668
"23","Aromatic amino acids and derivatives","Ningaloo",0.013108394746783
"24","Aromatic amino acids and derivatives","Philippines",0.011922035097955
"25","Aromatic amino acids and derivatives","Tanzania",0.0121025474449407
"26","Branched-chain amino acids","Cancun",0.0185606402148607
"27","Branched-chain amino acids","Lapaz",0.0196401622879992
"28","Branched-chain amino acids","Ningaloo",0.0204590882552442
"29","Branched-chain amino acids","Philippines",0.019783418961344
"30","Branched-chain amino acids","Tanzania",0.0203165018253475
"31","Glutamine, glutamate, aspartate, asparagine; ammonia assimilation","Cancun",0.00860718596021079
"32","Glutamine, glutamate, aspartate, asparagine; ammonia assimilation","Lapaz",0.00884636638406209
"33","Glutamine, glutamate, aspartate, asparagine; ammonia assimilation","Ningaloo",0.00879407524342643
"34","Glutamine, glutamate, aspartate, asparagine; ammonia assimilation","Philippines",0.00898239345445205
"35","Glutamine, glutamate, aspartate, asparagine; ammonia assimilation","Tanzania",0.00877086648429757
"36","Histidine Metabolism","Cancun",0.00644352791736355
"37","Histidine Metabolism","Lapaz",0.0067828870603512
"38","Histidine Metabolism","Ningaloo",0.00762947310631765
"39","Histidine Metabolism","Philippines",0.00733310134128825
"40","Histidine Metabolism","Tanzania",0.00699152126425095
"41","Lysine, threonine, methionine, and cysteine","Cancun",0.0311919130617161
"42","Lysine, threonine, methionine, and cysteine","Lapaz",0.0331898494910228
"43","Lysine, threonine, methionine, and cysteine","Ningaloo",0.0324948753162274
"44","Lysine, threonine, methionine, and cysteine","Philippines",0.0328412407953688
"45","Lysine, threonine, methionine, and cysteine","Tanzania",0.0325658564690425
"46","Proline and 4-hydroxyproline","Cancun",0.00560370551595574
"47","Proline and 4-hydroxyproline","Lapaz",0.00496398694401818
"48","Proline and 4-hydroxyproline","Ningaloo",0.00409990660806193
"49","Proline and 4-hydroxyproline","Philippines",0.00552063775529293
"50","Proline and 4-hydroxyproline","Tanzania",0.00541223157276375
"51","General Carbohydrate","Cancun",0.00158086183305922
"52","General Carbohydrate","Lapaz",0.00138600780579869
"53","General Carbohydrate","Ningaloo",0.00115819141204719
"54","General Carbohydrate","Philippines",0.00173196493554023
"55","General Carbohydrate","Tanzania",0.00169925973592565
"56","Putative sugar transporters","Cancun",0.000404702666122269
"57","Putative sugar transporters","Lapaz",0.000530111982065075
"58","Putative sugar transporters","Ningaloo",0.00035359672419561
"59","Putative sugar transporters","Philippines",0.000600882635212322
"60","Putative sugar transporters","Tanzania",0.000368286330097115
"61","Lacto-N-Biose I and Galacto-N-Biose Metabolic Pathway","Cancun",0.000138214010071316
"62","Lacto-N-Biose I and Galacto-N-Biose Metabolic Pathway","Lapaz",0.000223685230544513
"63","Lacto-N-Biose I and Galacto-N-Biose Metabolic Pathway","Ningaloo",0
"64","Lacto-N-Biose I and Galacto-N-Biose Metabolic Pathway","Philippines",0
"65","Lacto-N-Biose I and Galacto-N-Biose Metabolic Pathway","Tanzania",0
"66","Sugar utilization","Cancun",4.8622650424301e-05
"67","Sugar utilization","Lapaz",4.56231295039273e-06
"68","Sugar utilization","Ningaloo",4.09989476625941e-05
"69","Sugar utilization","Philippines",7.59944151134557e-06
"70","Sugar utilization","Tanzania",1.21541588024284e-05
"71","Aminosugars","Cancun",0.00216578596648561
"72","Aminosugars","Lapaz",0.0018812329329344
"73","Aminosugars","Ningaloo",0.00170310114097583
"74","Aminosugars","Philippines",0.0027360470057908
"75","Aminosugars","Tanzania",0.00212611825703687
"76","CO2 fixation","Cancun",0.00304478376131341
"77","CO2 fixation","Lapaz",0.00384901773836999
"78","CO2 fixation","Ningaloo",0.00801745151830629
"79","CO2 fixation","Philippines",0.00418924066155108
"80","CO2 fixation","Tanzania",0.00393114637111612
"81","Central carbohydrate metabolism","Cancun",0.0311846737686295
"82","Central carbohydrate metabolism","Lapaz",0.0359670353919516
"83","Central carbohydrate metabolism","Ningaloo",0.0373536317380911
"84","Central carbohydrate metabolism","Philippines",0.0326680375445873
"85","Central carbohydrate metabolism","Tanzania",0.0333693553306152
"86","TCA Cycle","Cancun",0.00925010014929418
"87","TCA Cycle","Lapaz",0.0120309599850908
"88","TCA Cycle","Ningaloo",0.0117232856976529
"89","TCA Cycle","Philippines",0.00964232611950318
"90","TCA Cycle","Tanzania",0.0110019981168413
"91","Di- and oligosaccharides","Cancun",0.0172074601937589
"92","Di- and oligosaccharides","Lapaz",0.0116218591486914
"93","Di- and oligosaccharides","Ningaloo",0.0124113926817158
"94","Di- and oligosaccharides","Philippines",0.0129561665403629
"95","Di- and oligosaccharides","Tanzania",0.0120729018648503
"96","Fermentation","Cancun",0.00733407095758172
"97","Fermentation","Lapaz",0.00721677409099217
"98","Fermentation","Ningaloo",0.00634596541402675
"99","Fermentation","Philippines",0.00637655873476363
"100","Fermentation","Tanzania",0.00716538434961513
"101","Monosaccharides","Cancun",0.0216651152442728
"102","Monosaccharides","Lapaz",0.014663651710141
"103","Monosaccharides","Ningaloo",0.0119126701831869
"104","Monosaccharides","Philippines",0.0163841703132767
"105","Monosaccharides","Tanzania",0.014064972720692
"106","One-carbon Metabolism","Cancun",0.00920795470346174
"107","One-carbon Metabolism","Lapaz",0.00879809144557265
"108","One-carbon Metabolism","Ningaloo",0.00862922539386804
"109","One-carbon Metabolism","Philippines",0.00990663746838106
"110","One-carbon Metabolism","Tanzania",0.00889704616775619
"111","Organic acids","Cancun",0.00700585641635974
"112","Organic acids","Lapaz",0.00729519256957805
"113","Organic acids","Ningaloo",0.00744991436201152
"114","Organic acids","Philippines",0.00593361439370681
"115","Organic acids","Tanzania",0.007349587617228
"116","Polysaccharides","Cancun",0.00598666515693988
"117","Polysaccharides","Lapaz",0.00280164694621912
"118","Polysaccharides","Ningaloo",0.00301502312924684
"119","Polysaccharides","Philippines",0.00332718428345462
"120","Polysaccharides","Tanzania",0.00316558456362522
"121","Sugar alcohols","Cancun",0.00563806310910852
"122","Sugar alcohols","Lapaz",0.00635820680150742
"123","Sugar alcohols","Ningaloo",0.00593728000214834
"124","Sugar alcohols","Philippines",0.00527682428033733
"125","Sugar alcohols","Tanzania",0.00647176639682745
"126","Cell division","Cancun",0.000339502440460343
"127","Cell division","Lapaz",0.0016818852699983
"128","Cell division","Ningaloo",0.00769759408711077
"129","Cell division","Philippines",0.000389545111176839
"130","Cell division","Tanzania",0.000365586213314515
"131","Bacterial Cytoskeleton","Cancun",0.00342388349673348
"132","Bacterial Cytoskeleton","Lapaz",0.00376704372950318
"133","Bacterial Cytoskeleton","Ningaloo",0.00354032065634051
"134","Bacterial Cytoskeleton","Philippines",0.00305960748989956
"135","Bacterial Cytoskeleton","Tanzania",0.00333410238214305
"136","Macromolecular synthesis operon","Cancun",0.00225785687291461
"137","Macromolecular synthesis operon","Lapaz",0.00280076506464681
"138","Macromolecular synthesis operon","Ningaloo",0.00325908753049649
"139","Macromolecular synthesis operon","Philippines",0.00198914601836875
"140","Macromolecular synthesis operon","Tanzania",0.00242850554582793
"141","Two Cell division clusters relating to chromosome partitioning","Cancun",0.00244521076409514
"142","Two Cell division clusters relating to chromosome partitioning","Lapaz",0.00358712467209321
"143","Two Cell division clusters relating to chromosome partitioning","Ningaloo",0.00388452570551616
"144","Two Cell division clusters relating to chromosome partitioning","Philippines",0.00265085885209477
"145","Two Cell division clusters relating to chromosome partitioning","Tanzania",0.00310792924650429
"146","Murein Hydrolases","Cancun",0.00230243417248139
"147","Murein Hydrolases","Lapaz",0.00230019587239331
"148","Murein Hydrolases","Ningaloo",0.00188152546697068
"149","Murein Hydrolases","Philippines",0.00254075556897004
"150","Murein Hydrolases","Tanzania",0
"151","Peptidoglycan Biosynthesis","Cancun",0.00860468737760054
"152","Peptidoglycan Biosynthesis","Lapaz",0.0104481512974043
"153","Peptidoglycan Biosynthesis","Ningaloo",0.00889098659919428
"154","Peptidoglycan Biosynthesis","Philippines",0.00974961895573067
"155","Peptidoglycan Biosynthesis","Tanzania",0
"156","Cell wall general","Cancun",0.005967500816115
"157","Cell wall general","Lapaz",0.0066318553450343
"158","Cell wall general","Ningaloo",1.7006190640269e-06
"159","Cell wall general","Philippines",0.00624449587929755
"160","Cell wall general","Tanzania",0.00818863726691719
"161","Capsular and extracellular polysacchrides","Cancun",0.0130490036769109
"162","Capsular and extracellular polysacchrides","Lapaz",0.0131022987487477
"163","Capsular and extracellular polysacchrides","Ningaloo",0.0141331132200424
"164","Capsular and extracellular polysacchrides","Philippines",0.0129751576940457
"165","Capsular and extracellular polysacchrides","Tanzania",0.0139766006256703
"166","Gram-Negative cell wall components","Cancun",0.0194169980899557
"167","Gram-Negative cell wall components","Lapaz",0.0179990063254011
"168","Gram-Negative cell wall components","Ningaloo",0.0152091090050998
"169","Gram-Negative cell wall components","Philippines",0.0172528279173597
"170","Gram-Negative cell wall components","Tanzania",0.0193749416416025
"171","Gram-Positive cell wall components","Cancun",0.000845315952746454
"172","Gram-Positive cell wall components","Lapaz",0.000738894142664038
"173","Gram-Positive cell wall components","Ningaloo",0.000590352999223335
"174","Gram-Positive cell wall components","Philippines",0.000988422565036459
"175","Gram-Positive cell wall components","Tanzania",0.000768318749538291
"176","Ligases","Cancun",0.00433763599071671
"177","Ligases","Lapaz",0.0057877479691304
"178","Ligases","Ningaloo",0.00537309089163879
"179","Ligases","Philippines",0.00476292259413423
"180","Ligases","Tanzania",0.00493595183204426
"181","Thiamin biosynthesis","Cancun",0.00947441646765242
"182","Thiamin biosynthesis","Lapaz",0.0101674758674971
"183","Thiamin biosynthesis","Ningaloo",0.00998086600676433
"184","Thiamin biosynthesis","Philippines",0.00922741689120898
"185","Thiamin biosynthesis","Tanzania",0.00608486070686429
"186","Ergothioneine Cyano","Cancun",0.000604628813445112
"187","Ergothioneine Cyano","Lapaz",0.000409321603897711
"188","Ergothioneine Cyano","Ningaloo",0
"189","Ergothioneine Cyano","Philippines",0.000526416915265513
"190","Ergothioneine Cyano","Tanzania",0.000411658417961627
"191","General cofactors","Cancun",1.86665004252544e-05
"192","General cofactors","Lapaz",0.000703997903717263
"193","General cofactors","Ningaloo",0
"194","General cofactors","Philippines",7.02417731473862e-05
"195","General cofactors","Tanzania",0.00339895398765152
"196","Molybdopterin","Cancun",0.000999340262861776
"197","Molybdopterin","Lapaz",0
"198","Molybdopterin","Ningaloo",0.000322331378222762
"199","Molybdopterin","Philippines",0.000969659874915515
"200","Molybdopterin","Tanzania",0.0005330175304776
"201","Biotin","Cancun",0.00811684253543885
"202","Biotin","Lapaz",0.00797369845150476
"203","Biotin","Ningaloo",0.00715788664500016
"204","Biotin","Philippines",0.00933131134537445
"205","Biotin","Tanzania",0.00799919197541015
"206","Coenzyme A","Cancun",0.00457826360109054
"207","Coenzyme A","Lapaz",0.00484929840569615
"208","Coenzyme A","Ningaloo",0.00552018390732496
"209","Coenzyme A","Philippines",0.00441180952567543
"210","Coenzyme A","Tanzania",0.00433518622932585
"211","Fe-S clusters","Cancun",0.00197134992757876
"212","Fe-S clusters","Lapaz",0.00179590299046228
"213","Fe-S clusters","Ningaloo",0.00230928328672227
"214","Fe-S clusters","Philippines",0.00169336899909454
"215","Fe-S clusters","Tanzania",0.00188886863709125
"216","Folate and pterines","Cancun",0.0177728315631756
"217","Folate and pterines","Lapaz",0.0164051099722046
"218","Folate and pterines","Ningaloo",0.0181140149027886
"219","Folate and pterines","Philippines",0.0149046811642762
"220","Folate and pterines","Tanzania",0.0159392053729551
"221","Lipoic acid","Cancun",0.00517056269976083
"222","Lipoic acid","Lapaz",0.00557904154533514
"223","Lipoic acid","Ningaloo",0.00636590072958376
"224","Lipoic acid","Philippines",0.00576326419943508
"225","Lipoic acid","Tanzania",0.00570858396096968
"226","NAD and NADP","Cancun",0.00483499452060728
"227","NAD and NADP","Lapaz",0.00448334828708757
"228","NAD and NADP","Ningaloo",0.00436777406420416
"229","NAD and NADP","Philippines",0.00500875496737983
"230","NAD and NADP","Tanzania",0.00409977377931621
"231","Pyridoxine","Cancun",0.0036896908135422
"232","Pyridoxine","Lapaz",0.00400215161483456
"233","Pyridoxine","Ningaloo",0.00415859992192071
"234","Pyridoxine","Philippines",0.00406450428849342
"235","Pyridoxine","Tanzania",0.00406901195900052
"236","Quinone cofactors","Cancun",0.00846238271206597
"237","Quinone cofactors","Lapaz",0.00850507591635566
"238","Quinone cofactors","Ningaloo",0.00891338142709706
"239","Quinone cofactors","Philippines",0.00752023652958034
"240","Quinone cofactors","Tanzania",0.0080699985338868
"241","Riboflavin, FMN, FAD","Cancun",0.00597755600339873
"242","Riboflavin, FMN, FAD","Lapaz",0.00564177776678225
"243","Riboflavin, FMN, FAD","Ningaloo",0.00579076095550276
"244","Riboflavin, FMN, FAD","Philippines",0.00561426709493977
"245","Riboflavin, FMN, FAD","Tanzania",0.00559133621659154
"246","Tetrapyrroles","Cancun",0.00295705981909085
"247","Tetrapyrroles","Lapaz",0.00458304611109701
"248","Tetrapyrroles","Ningaloo",0.00875766148439242
"249","Tetrapyrroles","Philippines",0.00370673821363232
"250","Tetrapyrroles","Tanzania",0.00426050849982928
"251","DNA general","Cancun",0.000948932071454958
"252","DNA general","Lapaz",0.000895474138185065
"253","DNA general","Ningaloo",0.000940701221211725
"254","DNA general","Philippines",0.000843199953926718
"255","DNA general","Tanzania",0.00109546678716815
"256","Restriction modification system","Cancun",0.00514122963842392
"257","Restriction modification system","Lapaz",0.00590244766476698
"258","Restriction modification system","Ningaloo",0.0030651622446561
"259","Restriction modification system","Philippines",0.00579729771404813
"260","Restriction modification system","Tanzania",0.00618326629079646
"261","CRISPs","Cancun",0.000344831439370924
"262","CRISPs","Lapaz",0.000461649733623594
"263","CRISPs","Ningaloo",7.85230341084847e-05
"264","CRISPs","Philippines",0.000162673661445279
"265","CRISPs","Tanzania",0.000250733590172148
"266","DNA recombination","Cancun",0.000802140248521902
"267","DNA recombination","Lapaz",0.000843070265101029
"268","DNA recombination","Ningaloo",0.000849131752389948
"269","DNA recombination","Philippines",0.000899185550712704
"270","DNA recombination","Tanzania",0.000933197196753457
"271","DNA repair","Cancun",0.0332205065644661
"272","DNA repair","Lapaz",0.032917737902152
"273","DNA repair","Ningaloo",0.0341048289625189
"274","DNA repair","Philippines",0.0334631033003887
"275","DNA repair","Tanzania",0.034052662528491
"276","DNA replication","Cancun",0.0175841579623397
"277","DNA replication","Lapaz",0.0163725356516386
"278","DNA replication","Ningaloo",0.0168010343855553
"279","DNA replication","Philippines",0.0165852971400305
"280","DNA replication","Tanzania",0.0174498149813934
"281","DNA uptake, competence","Cancun",0.00126927988365528
"282","DNA uptake, competence","Lapaz",0.00143141745172046
"283","DNA uptake, competence","Ningaloo",0.00166624530912812
"284","DNA uptake, competence","Philippines",0.00141808008088451
"285","DNA uptake, competence","Tanzania",0.00156588221012774
"286","Dormancy","Cancun",7.68037111941538e-06
"287","Dormancy","Lapaz",5.58097801319027e-06
"288","Dormancy","Ningaloo",0.000161591700229287
"289","Dormancy","Philippines",1.75245960556681e-05
"290","Dormancy","Tanzania",0
"291","Persister cells","Cancun",0.000739229245357653
"292","Persister cells","Lapaz",0.000145276000769571
"293","Persister cells","Ningaloo",0.000515542827289307
"294","Persister cells","Philippines",0.000595032093611918
"295","Persister cells","Tanzania",0.000663680548064879
"296","Spore","Cancun",0.000753963935455109
"297","Spore","Lapaz",0.00129566100830084
"298","Spore","Ningaloo",0.000606075708605746
"299","Spore","Philippines",0.000727029166615098
"300","Spore","Tanzania",0.000820280123093848
"301","Fatty acids general","Cancun",0.0181624628847138
"302","Fatty acids general","Lapaz",0.0206668305207485
"303","Fatty acids general","Ningaloo",0.0175523647151828
"304","Fatty acids general","Philippines",0.0204474319347548
"305","Fatty acids general","Tanzania",0.0183678331743528
"306","Polyhydroxybutyrate metabolism","Cancun",0.00269533626138931
"307","Polyhydroxybutyrate metabolism","Lapaz",0.00270463586016277
"308","Polyhydroxybutyrate metabolism","Ningaloo",0.00204652614790992
"309","Polyhydroxybutyrate metabolism","Philippines",0.00335437618820928
"310","Polyhydroxybutyrate metabolism","Tanzania",0.00286718908891098
"311","Isoprenoids","Cancun",0.00507064674668587
"312","Isoprenoids","Lapaz",0.00640448649561509
"313","Isoprenoids","Ningaloo",0.00839770248665283
"314","Isoprenoids","Philippines",0.0064974985136595
"315","Isoprenoids","Tanzania",0.00576751327357464
"316","Phospholipids","Cancun",0.00686586742029045
"317","Phospholipids","Lapaz",0.00673829324000964
"318","Phospholipids","Ningaloo",0.0065274479551241
"319","Phospholipids","Philippines",0.00690634021493213
"320","Phospholipids","Tanzania",0.00706475457467427
"321","Triacylglycerols","Cancun",0.000914385487513723
"322","Triacylglycerols","Lapaz",0.000787870781968979
"323","Triacylglycerols","Ningaloo",0.000602377076699636
"324","Triacylglycerols","Philippines",0.000815757335208456
"325","Triacylglycerols","Tanzania",0.000846979655489332
"326","Iron transport","Cancun",0.00183917052117463
"327","Iron transport","Lapaz",0.00115565612003567
"328","Iron transport","Ningaloo",0.00223261453718165
"329","Iron transport","Philippines",0.00238874419363389
"330","Iron transport","Tanzania",0.00120889954898181
"331","Hemin transport","Cancun",0.00208579674023124
"332","Hemin transport","Lapaz",0.000254916586470387
"333","Hemin transport","Ningaloo",0.001203380744766
"334","Hemin transport","Philippines",0.00162408404725637
"335","Hemin transport","Tanzania",0
"336","Iron acquisition","Cancun",0.00292544516091197
"337","Iron acquisition","Lapaz",0.00436186930540605
"338","Iron acquisition","Ningaloo",0.00233741769636547
"339","Iron acquisition","Philippines",0.00288702342260347
"340","Iron acquisition","Tanzania",0
"341","Siderophores","Cancun",0.00201432564299659
"342","Siderophores","Lapaz",0.00178659044446444
"343","Siderophores","Ningaloo",0.000569013346973413
"344","Siderophores","Philippines",0.0016234777191017
"345","Siderophores","Tanzania",0.00171334836802092
"346","Membrane transport general","Cancun",7.28220563190899e-05
"347","Membrane transport general","Lapaz",5.48264973152684e-05
"348","Membrane transport general","Ningaloo",4.06974982081094e-05
"349","Membrane transport general","Philippines",8.38405840935919e-05
"350","Membrane transport general","Tanzania",5.60653389008954e-05
"351","ECF class transporters","Cancun",2.40407011646099e-05
"352","ECF class transporters","Lapaz",2.01952868937452e-05
"353","ECF class transporters","Ningaloo",1.15191576837383e-05
"354","ECF class transporters","Philippines",1.42092480726901e-05
"355","ECF class transporters","Tanzania",3.86167079409933e-05
"356","Ton and tol transporters","Cancun",0.0402917515071136
"357","Ton and tol transporters","Lapaz",0.0320533743907688
"358","Ton and tol transporters","Ningaloo",0.0242783824658975
"359","Ton and tol transporters","Philippines",0.0388789148560222
"360","Ton and tol transporters","Tanzania",0.0289741047676996
"361","Transport of metals","Cancun",0.00206972742695803
"362","Transport of metals","Lapaz",0.00226790144822294
"363","Transport of metals","Ningaloo",0.00176084679494822
"364","Transport of metals","Philippines",0.00245343973095367
"365","Transport of metals","Tanzania",0.00187073639444055
"366","Tricarboxylate transport system","Cancun",0.000935622152049186
"367","Tricarboxylate transport system","Lapaz",0.00177188571238157
"368","Tricarboxylate transport system","Ningaloo",0.00139616630410393
"369","Tricarboxylate transport system","Philippines",0
"370","Tricarboxylate transport system","Tanzania",0.00142657831689339
"371","ABC transporters","Cancun",0.00648774691621854
"372","ABC transporters","Lapaz",0.0090822766218544
"373","ABC transporters","Ningaloo",0.0092417251968948
"374","ABC transporters","Philippines",0.00638924988137073
"375","ABC transporters","Tanzania",0.0100281190631641
"376","Protein and nucleoprotein secretion system, Type IV","Cancun",0.00573624830910238
"377","Protein and nucleoprotein secretion system, Type IV","Lapaz",0.00486170863030568
"378","Protein and nucleoprotein secretion system, Type IV","Ningaloo",0.00497871963043983
"379","Protein and nucleoprotein secretion system, Type IV","Philippines",0.00571217493997279
"380","Protein and nucleoprotein secretion system, Type IV","Tanzania",0.00631347385182897
"381","Protein secretion system, Chaperone-Usher pathway (CU)","Cancun",1.38378273445254e-06
"382","Protein secretion system, Chaperone-Usher pathway (CU)","Lapaz",0.000122605832916855
"383","Protein secretion system, Chaperone-Usher pathway (CU)","Ningaloo",6.17285031304773e-07
"384","Protein secretion system, Chaperone-Usher pathway (CU)","Philippines",5.62906030128717e-06
"385","Protein secretion system, Chaperone-Usher pathway (CU)","Tanzania",0
"386","Protein secretion system, Type II","Cancun",0.00479346086638779
"387","Protein secretion system, Type II","Lapaz",0.00352007217094514
"388","Protein secretion system, Type II","Ningaloo",0.00355914068363535
"389","Protein secretion system, Type II","Philippines",0.00510635431158002
"390","Protein secretion system, Type II","Tanzania",0.00461706451115052
"391","Protein secretion system, Type III","Cancun",4.39065054969678e-05
"392","Protein secretion system, Type III","Lapaz",3.32649333049186e-05
"393","Protein secretion system, Type III","Ningaloo",3.10327516902579e-05
"394","Protein secretion system, Type III","Philippines",8.73281664913985e-05
